ReferenceID,BibliographicReference,ReferenceYear
REF288,"""Edwards E. (2012). Report on the moths and butterflies (lepidoptera) of Upland Savaii. In: Atherton J. Jefferies B. (Eds.). (2012). Rapid Biodiversity Assessment of Upland savaii Samoa""",2012
REF289,"""EFSA Panel on Plant Health (EFSA PLH Panel) et al. (2008). Pest risk assessment made by France on Nacoleia octasema considered by France as harmful in French overseas departments of French Guiana Guadeloupe Martinique and Reunion-Scientific Opinion of the Panel on Plant Health. The EFSA Journal. 671: 1-15""",2008
REF290,"""EFSA Panel on Plant Health (EFSA PLH Panel) et al. (2018). Pest categorisation of Acrobasis pirivorella. EFSA Journal 16(10) e05440""",2018
REF291,"""EFSA Panel on Plant Health (EFSA PLH Panel) et al. (2021). Pest categorisation of Amyelois transitella. EFSA Journal. 19(6): 6666""",2021
REF292,"""EFSA Panel on Plant Health (EFSA PLH Panel) et al. (2023). Pest risk assessment of Elasmopalpus lignosellus for the European Union. EFSA Journal. 21(5): e08004""",2023
REF293,"""EFSA Panel on Plant Health (EFSA PLH Panel) et al. (2024). Pest categorisation of Diaphania indica. EFSA Journal. 22(5): e8806""",2024
REF294,"""EFSA Panel on Plant Health (EFSA PLH Panel) et al. (2024). Pest categorisation of Monema flavescens. EFSA Journal. 22(7): e8831""",2024
REF295,"""EFSA Panel on Plant Health (PLH) et al. (2018). Pest categorisation of Grapholita inopinata. EFSA Journal 16(12) e05515""",2018
REF296,"""EFSA Panel on Plant Health (PLH) et al. (2024). Pest categorisation of Malacosoma parallela. EFSA Journal 22(1) e8549""",2024
REF297,"""Ehsine M. Aoun F. (2020). First report of the defoliator moth Spoladea recurvalis (Fabricius 1775) (Lepidoptera: Crambidae) in Tunisia. Bulletin OEPP/EPPO Bulletin. 50(2): 304-306""",2020
REF298,"""Eichlin T. (1995). New Data and a Redescription for Melittia oedipus na African Vine Borer (Lepidoptera: Sesiidae). Tropical Lepidoptera. 6(1): 47-51""",1995
REF299,"""Eichlin T. Cunningham H. (1978). The Plusiinae (Lepidoptera: Noctuidae) of America north of Mexico emphasizing genitalic and larval morphology (No. 1567). Department of Agriculture Agricultural Research Service. Washington D.C. United States of America""",1978
REF300,"""Eiseman C. et al. (2017). First North American records of Porphyrosela minuta Clarke (Lepidoptera: Gracillariidae) with notes on its native congener P. desmodiella (Clemens). Proceedings of the Entomological Society of Washington. 119(1): 18-23""",2017
REF301,"""Ekka R. et al. (2020). Outbreak of Poinciana looper moth Pericyma cruegeri (Butler)(Lepidoptera: Erebidae) in the Korba district of Chhattisgarh. Journal of Pharmacognosy and Phytochemistry. 9(4S): 704-709""",2020
REF302,"""Ekrem T. et al. (2014). The most northerly Black Witch (Ascalapha odorata): a tropical moth in the Canadian Arctic. The Canadian Field-Naturalist. 128(1): 77-79""",2014
REF303,"""Elkinton J. et al. (2008). Factors Influencing Larval Survival of the Invasive Browntail Moth (Lepidoptera: Lymantriidae) in Relict North American Populations. Environmental Entomology. 37(6): 1429-1437""",2008
REF304,"""Elkinton J. et al. (2010). Survey for winter moth (Lepidoptera: Geometridae) in northeastern North America with pheromone-baited traps and hybridization with the native Bruce spanworm (Lepidoptera: Geometridae). Annals of the Entomological Society of America. 103: 135-145""",2010
REF305,"""Ellis C. Bjornson S. (1996). The biology importance and biological control of Coleophroa deauratella (Lepidoptera: Coleophoridae) a new pest of red clover in North America. Proceedings of the Entomological Society of Ontario. 127: 115-124""",1996
REF306,"""ElShahed S. et al. (2023). Modeling the potential global distribution of the Egyptian cotton leafworm Spodoptera littoralis under climate change. Scientific Reports. 13: 17314""",2023
REF307,"""Emmerson A. Hoare R. (2019). Lepidoptera from Redvale Albany north of Auckland New Zealand 2004-2016: an annotated list. The Weta. 53: 43-70""",2019
REF308,"""Erenler H. et al. (2016). Butterfly Diversity at Lost Canyon Nature Reserve Nicaragua including a new country record. Revista Nicaraguense de Entomologia. 106""",2016
REF309,"""Ermolaev I. (2014). Biological Invasion of the Lime Leafminer Phyllonorycter issikii Kumata (Lepidoptera Gracillariidae) in Europe. Contemporary Problems of Ecology. 7(3): 324-333""",2014
REF310,"""Ermolaev I. (2022). Parasitoids (Hymenoptera) as a Mortality Factor for Cameraria ohridella Deschka and Dimic 1986 (Lepidoptera Gracillariidae). Russian Journal of Biological Invasions. 13(3): 284-300""",2022
REF311,"""Ermolaev I. et al. (2018). Food Plants of Lime Leafminer Phyllonorycter issikii (Kumata 1963) (Lepidoptera Gracillariidae). Russian Journal of Biological Invasions. 9(3): 205-214""",2018
REF312,"""Ermolaev I. Domrachev T. (2021). The Influence of Number of Generations on the Dynamics of Lime Leaf Miner Phyllonorycter issikii (Kumata 1963) (Lepidoptera Gracillariidae) in Udmurtia. Russian Journal of Biological Invasions. 12(1): 53-66""",2021
REF313,"""Esayas Mendesil E. et al. (2011). Insect natural enemies of coffee leaf-miner Leucoptera caffeina Washbourn (Lepidoptera: Lyonetiidae) in Ethiopia and their potential for biological control. Journal of Coffee Research 39 (1 2) 1-9""",2011
REF314,"""Esbjerg P. Sigsgaard L. (2014) Phenology and pest status of Agrotis segetum in a changing climate. Crop Protection 62 64–71""",2014
REF315,"""Escobar-Suarez S. et al. (2023). A geometric morphometrics and genetics characterization of Vanessa carye in an extreme elevational gradient in the Chilean Altiplano. Zoologischer Anzeiger. 304: 105-112""",2023
REF316,"""European and Mediterranean Plant Protection Organization (EPPO) (1975). Phthorimaea openculella intercepted in Hungary. EPPO Reporting Service. 01 - 1975: 1975/06""",1975
REF317,"""European and Mediterranean Plant Protection Organization (EPPO) (1977). Report of Hypantria cunea D. in France. EPPO Reporting Service. 01 - 1977: 1977/06""",1977
REF318,"""European and Mediterranean Plant Protection Organization (EPPO) (1978). New record of Hyphantria cunea in Greece. EPPO Reporting Service. 1980/01""",1978
REF319,"""European and Mediterranean Plant Protection Organization (EPPO) (1978). Official List of Dangerous Pests to Tunisia. EPPO Reporting Service. 01 - 1978: 1978/05""",1978
REF320,"""European and Mediterranean Plant Protection Organization (EPPO) (1987). Status of Opogona sacchari in EPPO region. EPPO Reporting Service. 16: 1987/01""",1987
REF321,"""European and Mediterranean Plant Protection Organization (EPPO) (1988). Declaration on Phytosanitary Certificate for Canada regarding Yponomeuta malinellus. EPPO Reporting Service. 2: 7/1988""",1988
REF322,"""European and Mediterranean Plant Protection Organization (EPPO) (1988). Hyphantria cunea in Italy. EPPO Reporting Service. 03 - 1988: 1988/05""",1988
REF323,"""European and Mediterranean Plant Protection Organization (EPPO) (1991). First record of Cydia molesta in South Africa. EPPO Reporting Service. 03 - 1991: 1991/10""",1991
REF324,"""European and Mediterranean Plant Protection Organization (EPPO) (1991). Spodoptera littoralis in Iraq. EPPO Reporting Service 07 - 1991: 1991/16""",1991
REF325,"""European and Mediterranean Plant Protection Organization (EPPO) (1992). New pest on Mallorca. EPPO Reporting Service 02 - 1992: 1992/03""",1992
REF326,"""European and Mediterranean Plant Protection Organization (EPPO) (2006). Tecia Solanivora. Bulletin OEPP/EPPO Bulletin. 36: 175-178""",2006
REF327,"""European and Mediterranean Plant Protection Organization (EPPO) (2009). First report of an unsual insect species in Hungary: Acharia stimulea. EPPO Reporting Service. 2009(10): 2009/191""",2009
REF328,"""European and Mediterranean Plant Protection Organization (EPPO) (2017). Mini data sheet on Platynota stultana. EPPO Reporting Service. 1998/180 2017/149""",2017
REF329,"""European and Mediterranean Plant Protection Organization (EPPO) (2019). First report of Spodoptera frugiperda in Thailand. EPPO Reporting Service. 01 - 2019: 2019/006""",2019
REF330,"""European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int""",2024
REF331,"""European and Mediterranean Plant Protection Organization (EPPO) (2024). First report of Spodoptera frugiperda in Romania. EPPO Reporting Service. 01 - 2024: 2024/003""",2024
REF332,"""Fabre J. et al. (1999). Le point sur certains ravageurs du cedre de l Atlas en Afrique du nord en France et en Europe. Foret Mediterraneenne. 20(4): 203-218""",1999
REF333,"""Fabricius J. (1775). Systema Entomologiae sistens insectorum classes ordines genera species adiectis synonymis locis descriptionibus observationibus. Flensburgi et Lipsiae. 832pp""",1775
REF334,"""Falck P. et al. (2019). New data on Pyraloidea from the Canary Islands Spain (Lepidoptera: Pyraloidea). SHILAP Revista de Lepidopterologia. 47(185): 33-48""",2019
REF335,"""Falck P. et al. (2022). New data on Pyraloidea from the Canary Islands Spain 2 (Lepidoptera: Pyralidae Crambidae. SHILAP Revista de Lepidopterologia. 50(199): 469-488""",2022
REF336,"""Falsafi H. et al. (2022). Forecasting the potential distribution of Spodoptera exigua and S. littoralis (Lepidoptera Noctuidae) in Iran. Journal of Asia-Pacific Entomology. 25: 101956""",2022
REF337,"""Faraco L. et al. (2019). Infestation of Mangroves by the Invasive Moth Hyblaea puera (Cramer 1777) (Lepidoptera: Hyblaeidae). Brazilian Archives of Biology and Technology. 62: e19170516""",2019
REF338,"""Farahani S. et al. (2012). Life table of Spodoptera exigua (Lepidoptera: Noctuidae) on five soybean cultivars. Psyche: A Journal of Entomology. 2012(1): 513824""",2012
REF339,"""Farahani S. et al. (2021). Life Cycle of Cydalima perspectalis (Walker 1859) (Lepidoptera: Crambidae) an Invasive Exotic Pest in Hyrcanian Forests of Iran. Journal of Agricultural Science and Technology. 23(2): 361-370""",2021
REF340,"""Farrugia C. (1997). Insect Pests on Cauliflower (Brassica oleracea Var. Botrytis) in Gozo (Maltese Islands Central Mediterranean). The Central Mediterranean Naturalist. 2(4): 152-165""",1997
REF341,"""Fazekas I. (2022). A synopsis of the bionomics and geographical distribution of Phtheochroa species in Hungary (Lepidoptera: Tortricidae Cochylini). Lepidopterologica Hungarica. 18(1): 23-43""",2022
REF342,"""Ferguson D. (1997). Review of the New World Bagisarinae with description of two new species from the Southern United States (Noctuidae). Journal of the Lepidopterists Society. 51: 344-357""",1997
REF343,"""Ferguson D. et al. (1991). The Lepidoptera of Bermuda: their food plants biogeography and means of dispersal. The Memoirs of the Entomological Society of Canada. 123(S158): 3-105""",1991
REF344,"""Fernandez-Hernandez D. Minno M. (2017). The slowly expanding range of Papilio demoleus Linnaeus (Lepidoptera: Papilionidae) in Cuba. Tropical Lepidoptera Research. 25(1): 8-14""",2017
REF345,"""Fernandez A. et al. (2024). Primera cita de Earias roseifera Butler 1881 (Lepidoptera: Noctuoidea: Nolidae) para la Peninsula Iberica. Arquivos Entomoloxicos. 30: 241-244""",2024
REF346,"""Fiaboe K. et al. (2021). First report and distribution of the South American tomato pinworm Tuta absoluta (Meyrick) (Lepidoptera: Gelechiidae) in Togo. Phytoparasitica. 49:167-177""",2021
REF347,"""Fibiger M. Agassiz D. (2001). Araeopteron ecphaea a small noctuid moth in the West Palaearctic (Noctuidae: Acontiinae). Nota Lepidopterologica. 24(1): 29-35""",2001
REF348,"""Field W. (1975). Ctenuchid moths of Ceramidia Butler Ceramidiodes Hampson and the caca species group of Antichloris Hubner. Smithsonian Contributions to Zoology. 198: 45pp""",1975
REF349,"""Filho J. et al. (2010). The three phases of the ensemble forecasting of niche models: geographic range and shifts in climatically suitable areas of Utetheisa ornatrix (Lepidoptera Arctiidae). Revista Brasileira de Entomologia. 54(3): 339-349""",2010
REF350,"""Fletcher D. (1956). Spodoptera mauritia (Boisduval) and S. triturata (Walker) two distinct species. Bulletin of Entomological Research. 47(2): 215-217""",1956
REF351,"""Fletcher T. (1910). Lepidoptera exclusive of the Tortricidae and Tineidae with some remarks on their distribution and means of dispersal among the islands of the Indian Ocean. (The Percy Sladen Trust Expedition to the Indian Ocean in 1905). Transactions of the Linnean Society of London - Zoology. 2(13): 265‚ai324""",1910
REF352,"""Flo D. et al. (2020). The Siberian moth (Dendrolimus sibiricus) a pest risk assessment for Norway. Forest Ecosystems. 7: 1-11""",2020
REF353,"""Fodor E. Haruta O. (2009). Niche partition of two invasive insect species Parectopa robiniella (Lepidoptera: Gracillariidae) and Phyllonorycter robiniella (Clem.) (Lepidoptera: Gracillariidae). Research Journal of Agricultural Science. 41(2): 261-269""",2009
REF354,"""Fogliani R. Strickland G. (2004). Biological Control of Dock: Enhanced Distribution of the Dock Moth. Meat and Livestock Australia. Sidney Australia""",2004
REF355,"""Fox R. (2001). Butterflies and moths. In: Hawksworth D. (Ed.) (2001). The changing wildlife of Great Britain and Ireland. Taylor and Francis Limited. Padstow Cornwall United Kingdom""",2001
REF356,"""Fox R. et al. (2019). A review of the status of the macro-moths of Great Britain Butterfly Conservation report to Natural England 2019. Butterfly Conservation Report No. S19-17. Butterfly Conservation Wareham""",2019
REF357,"""Francischini F. et al. (2019). Diatraea saccharalis history of colonization in the Americas. The case for human-mediated dispersal. PLoS One. 14(7): e0220031""",2019
REF358,"""Frank J. McCoy E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28""",1992
REF359,"""Freires J. et al. (2023). Estimation of the extent of defoliation in Avicennia L. (Acanthaceae) caused by caterpillars of Hyblaea puera (Cramer 1777) in a tropical mangrove. Regional Studies in Marine Science. 68: 103240""",2023
REF360,"""Freitas A. (2017). Scientific Note: Biological notes on Utetheisa pulchelloides (Erebidae) in Tuamotu French Polynesia. Tropical Lepidoptera Research. 27(2): 115-116""",2017
REF361,"""Frenot Y. et al. (2005). Biological invasions in the Antarctic: extent impacts and implications. Biological Reviews. 80: 45-72""",2005
REF362,"""Fric Z. et al. (2014). First record of the cycad blue Chilades pandava in Egypt - a new invasive butterfly species in the Mediterranean region and on the African continent (Lepidoptera: Lycaenidae). African Entomology. 22(2): 315-319""",2014
REF363,"""Fric Z. et al. (2022). Molecular phylogeny and biogeography of the genus Symbrenthia (Lepidoptera Nymphalidae) correlates with the past geography of the Oriental region. Molecular Phylogenetics and Evolution. 177: 107605""",2022
REF364,"""Fric Z. Hula V. (2013). Zizula hylax (Fabricius 1775) new butterfly species for Socotra (Lepidoptera: Lycaenidae). SHILAP Revista de Lepidopterologia. 41(164): 571-575""",2013
REF365,"""Frick K. (1964). Leucoptera spartifoliella an introduced enemy of Scotch broom in the western United States. Journal of Economic Entomology. 57(4): 589-591""",1964
REF366,"""Fronza E. et al. (2011). Butterflies and moths (Insecta: Lepidoptera) associated with erva-mate the South American Holly (Ilex paraguariensis St. Hil.) in Rio Grande do Sul Brazil. Check List 7(4) 496-504""",2011
REF367,"""Fuentes N. et al. (2020). Multi-taxa inventory of naturalized species in Chile (including native Chilean species introduced in other areas of the national territory outside of their original range). NeoBiota. 60: 25-41""",2020
REF368,"""Gaedike R. (2009). New or poorly Tineidae from Mauretania Morocco Algeria and Tunisia (Lepidoptera). Beitrage zur Entomologie. 59(2): 489-512""",2009
REF369,"""Gaedike R. (2015). Tineidae I: (Dryadaulinae Hapsiferinae Euplocaminae Scardiinae Nemapogoninae and Meessiinae). Brill. Leiden Netherlands""",2015
REF370,"""Gaedike R. (2016). New and poorly known Acrolepiinae from the Palaearctic Afrotropical Neotropical and Oriental regions (Lepidoptera: Glyphipterigidae). Contributions to Entomology. 66(2): 257-264""",2016
REF371,"""Gaedike R. (2019). Tineidae II: (Myrmecozelinae Perissomasticinae Tineinae Hieroxestinae Teichobiinae and Stathmopolitinae). Brill. Leiden Netherlands""",2019
REF372,"""Gahramanova G. et al. (2020). Biological characteristics and efficacy of Bacillus thuringiensis var. thuringiensis against the cotton leaf roller Syllepte derogata (Fabricius 1775) (Lepidoptera: Crambidae). Journal of Biological Pest Control. 30: 85""",2020
REF373,"""Gamil W. (2020). Fall Armyworm Spodoptera frugiperda (J. E. Smith) (Lepidoptera: Noctuidae) Biological Aspects as A New Alien Invasive Pest in Egypt. Egyptian Academy Journal of Biological Science. 13(3): 189-196""",2020
REF374,"""Ganiger P. et al. (2018). Occurrence of the new invasive pest fall armyworm Spodoptera frugiperda (JE Smith) (Lepidoptera: Noctuidae) in the maize fields of Karnataka India. Current Science India. 115: 621-623""",2018
REF375,"""Gao L. et al. (2023). Use of food attractant to monitor and forecast population dynamics of Cnaphalocrocis medinalis (Lepidoptera: Pyralidae) a long-distance migratory pest. Agronomy. 13(8): 2141""",2023
REF376,"""Garraway E. et al. (2009). Papilio demoleus (the lime swallowtail) (Lepidoptera: Papilionidae) a potential pest of citrus expanding its range in the Caribbean. Tropical Lepidoptera Research. 19: 58-59""",2009
REF377,"""Garre M. et al. (2022). An annotated checklist of the Pyralidae of the region of Murcia (Spain) with new records distribution and biological data (Lepidoptera Pyraloidea Pyralidae). Biodiversity Data Journal. 10: e79255""",2022
REF378,"""Gassmann A. et al. (2011). Biological control of common tansy Tanacetum vulgare. Annual Report 2010. CABI Europe – Switzerland""",2011
REF379,"""Gauld I. (1988). The species of the Enicospilus americanus complex (Hymenoptera: Ichneumonidae) in eastern North America. Systernafic Entomology. 13: 31-53""",1988
REF380,"""Geci D. et al. (2020). New records of Cydalima perspectalis (Walker 1859)(Lepidoptera Crambidae) from Albania and Kosovo. Natura Croatica: Periodicum Musei Historiae Naturalis Croatici. 29(1): 135-138""",2020
REF381,"""Gentry J. (1965). Crop insects of northeast Africa-southwest Asia (No. 273). Agricultural Research Service US Department of Agriculture""",1965
REF382,"""Gerard P. (2013). Observations on Philobota sp (Lepidoptera Oecophoridae) near Hamilton in 2012. New Zealand Plant Protection. 66: 148-152""",2013
REF383,"""Gernaat H. (2016). Notes on the early stages of Antichloris eriphia (Erebidae: Arctiinae) in Suriname. The Journal of the Lepidopterists Society. 70(4): 311-314""",2016
REF384,"""Gershenson Z. et al. (2002). New records of Yponomeutoid moths (Lepidoptera Yponomeutidae Plutellidae) from Israel. Vestnik zoologii. 36(5): 77-80""",2002
REF385,"""Gibson L. (1993). Additional North American Records of Ecosmomorpha albersana (Tortricidae: Enarmoniini). Journal of the Lepidopterists Society. 47(4): 322-323""",1993
REF386,"""Gielis C. (1991). Review of the Pterophoridae (Lepidoptera) from Argentina and Chile. Zoologische Mededelingen. 269: 4-164""",1991
REF387,"""Gielis C. (2003). Review of the Pterophoridae (Lepidoptera) from the Philippines. Zoologische Mededelingen. 77: 409-424""",2003
REF388,"""Gielis C. (2006). Review of the Neotropical species of the family Pterophoridae part I: Ochyroticinae Deuterocopinae Pterophorinae (Platyptiliini Exelastini Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290""",2006
REF389,"""Gielis C. Karsholt O. (2009). Additional records of Pterophoridae from the Cape Verde Islands with description of a new species of Agdistis Hubner. Nota Lepidopterologica. 32(2): 139-144""",2009
REF390,"""Gilal A. et al. (2020). First Record of Invasive Fall Armyworm (Spodoptera frugiperda (Smith) (Lepidoptera: Noctuidae)) in Corn Fields of Sindh Pakistan. Pakistan Journal of Agricultural Research. 33(2): 247-252""",2020
REF391,"""Gillespie D. Gillespie B. (1982). A list of plant-feeding Lepidoptera introduced into British Columbia. Journal of the Entomological Society of British Columbia. 79: 37-54""",1982
REF392,"""Gilligan T. et al. (2011). Discovery of false codling moth Thaumatotibia leucotreta (Meyrick) in California (Lepidoptera: Tortricidae). Proceedings of the Entomological Society of Washington. 113(4): 426-435""",2011
REF393,"""Gilligan T. et al. (2011). Discovery of Lobesia botrana (Denis and Schiffermuller) in California: An invasive species new to North America (Lepidoptera: Tortricidae). Proceedings of the Entomological Society of Washington. 1113(1): 14-30""",2011
REF394,"""Gilligan T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594""",2020
REF395,"""Gilligan T. Brown J. (2014). A new name for the western spruce budworm (Lepidoptera: Tortricidae)?. The Canadian Entomologist. 146(6): 583-589""",2014
REF396,"""Gilligan T. Epstein M. (2012). TortAI Tortricids of Agricultural Importance to the United States (Lepidoptera: Tortricidae). Identification Technology Program (ITP) USDA/APHIS/PPQ/CPHST Fort Collins CO. Available at: https://idtools.org/id/tortai/index.html""",2012
REF397,"""Gilligan T. Passoa S. (2014). LepIntercept - An identification resource for intercepted Lepidoptera larvae. Available at: https://idtools.org/id/lepintercept/strymon.html""",2014
REF398,"""Girardoz S. et al. (2007). Factors favouring the development and maintenance of outbreaks in an invasive leaf miner Cameraria ohridella (Lepidoptera: Gracillariidae): a life table study. Agricultural and Forest Entomology. 9: 141-158""",2007
REF399,"""Glavendekic M. (2006). Epichoristodes acerbella (Walker)(Lepidoptera: Tortricidae): a new species in the fauna of Serbia. Acta Entomologica Serbica. 11(1): 77-81""",2006
REF400,"""Glerean P. et al. (2022). Lepidoptera of the Prealpi Giulie Natural Park (Friuli Venezia Giulia North-East Italy). GORTANIA - Botanica Zoologia. 44: 29-72""",2022
REF401,"""Goater B. et al. (2022). Pyraloidea I: (Acentropinae Evergestinae Heliothelinae Schoenobiinae Scopariinae) (Vol. 4). Brill. Leiden Netherlands""",2022
REF402,"""Goebel R. (2006). The effect of temperature on development and reproduction of the sugarcane stalk borer Chilo sacchariphagus (Bojer 1856)(Lepidoptera: Crambidae). African Entomology. 14(1): 103-111""",2006
REF403,"""Goergen G. et al. (2016). First Report of Outbreaks of the Fall Armyworm Spodoptera frugiperda (J E Smith) (Lepidoptera Noctuidae) a New Alien Invasive Pest in West and Central Africa. PLoS One. 11: e0165632""",2016
REF404,"""Goglia L. (2021). Faunistic Notes on Lepidoptera Tortricidae from Calabria (South Italy) - Contribution to the knowledge of the Lepidoptera Tortricidae fauna of Mediterranean ecosystems. [PhD Thesis Universita degli Studi della Tuscia and Universita degli Studi del Molise]""",2021
REF405,"""Gomboc S. Koren T. (2015). The distribution of Cryphia ochsi Boursin 1940 and Cryphia algae (Fabricius 1775)(Lepidoptera: Noctuidae) in Slovenia and Croatia. Acta Entomologica Slovenica. 23(2): 117-34""",2015
REF406,"""Goncalves R. et al. (2019). Invasion origin rapid population expansion and the lack of genetic structure of cotton bollworm (Helicoverpa armigera) in the Americas. Ecology and Evolution. 9: 7378-7401""",2019
REF407,"""Gong C. (2005) The first record of the Eremic Lycaenid Deudorix livia (Klug 1834) in Europe. Atalanta. 36(1): 109-112""",2005
REF408,"""Gonzales J. (2003). Castniinae (Lepidoptera: Castniidae) from Venezuela. V: Castnia Fabricius and Telchin Hubner. Boletin del Centro de Investigaciones Biologicas. 37(3): 191-201""",2003
REF409,"""Gonzalez-Hernandez A. et al. (2019). First report of range expansion of the cactus webworm Loxomorpha flavidissimalis (Grote)(Pyraloidea: Crambidae) to central Mexico and central Texas USA. Florida Entomologist. 102(3): 638-641""",2019
REF410,"""Gonzalez J. Cock M. (2004). A synopsis of the Castniidae (Lepidoptera) of Trinidad and Tobago. Zootaxa. 762(1): 1-19""",2004
REF411,"""Goode M. Burk D. (2013). A new subspecies of Papilio helenus Linnaeus 1758 (Lepidoptera: Papilionidae) from Simeulue Island Indonesia. Butterflies (Teinopalpus). 63: 53-55""",2013
REF412,"""Gordon A. (2011). Biological control endeavours against Australian myrtle Leptospermum laevigatum (Gaertn.) F. Muell.(Myrtaceae) in South Africa. African Entomology. 19(1): 349-355""",2011
REF413,"""Gordon A. Lyons C. (2017). Current status of Carposina autologa (Lepidoptera: Carposinidae) a biological control agent of silky hakea Hakea sericea (Proteaceae) and rock hakea Hakea gibbosa (Proteaceae) in the Western Cape South Africa. African Entomology. 25(1): 250-253""",2017
REF414,"""Goudarzi M. (2023). Structure function and evolution of nettle caterpillar (Lepidoptera: Limacodidae) venom toxins. The Australian Entomologist. 50(3): 351-356""",2023
REF415,"""Government of British Columbia (2018). Metzneria paucipunctella Zell. Available at: https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/forestry/agents/metzneria_paucipunctella.pdf""",2018
REF416,"""Government of Canada (2015). Forest Invasive Alien Species - Established species""",2015
REF417,"""Gozmany L. (1960). The results of the zoological collecting trip to Egypt in 1957 of the Natural History Museum Budapest. 8. Egyptian Microlepidoptera II""",1960
REF418,"""Grain Research and Development Corporation (2022). Weed Web Moth Fact Sheet. Available at: https://grdc.com.au/resources-and-publications/all-publications/factsheets/2022/weed-web-moth-fact-sheet""",2022
REF419,"""Grandoli R. et al. (2018). Batata afectada por el barrenador Megastes grandalis Guenee. Hoja Divulg 52 1-9""",2018
REF420,"""Grant G. et al. (1995). Oak leafshredder Croesia semipurpurana. Pages 149-153 (Chapter 16) in: Armstrong J. and Ives W. (eds). Forest Insect Pests in Canada. Natural Resources Canada Canadian Forest Service Headquarters Ottawa. 732 p""",1995
REF421,"""Green D. (1984). A Proposed Origin of the Coffee Leaf-miner Leucoptera coffeella (Guerin-Meneville) (Lepidoptera: Lyonetiidae). Bulletin of the Entomological Society of America. 30(1): 30-31""",1984
REF422,"""Greenberg S. et al. (2001). Feeding and Life History of Spodoptera exigua (Lepidoptera: Noctuidae) on Different Host Plants. Annals of the Entomological Society of America. 94(4): 566-575""",2011
REF423,"""Griffin B. et al. (2020). The Reliability of Genitalia Morphology to Monitor the Spread of the Invasive Winter Moth (Lepidoptera: Geometridae) in Eastern North America. Environmental Entomology. 49(6): 1492-1498""",2020
REF424,"""Griffith T. Gillett-Kaufman J. (2018). Fiery Skipper Hylephila phyleus (Drury)(Insecta: Lepidoptera: Hesperiidae): EENY-697/IN1194 12/2017. EDIS. 2018(1): 1-4""",2018
REF425,"""Grill A. et al. (2007). Genetic differentiation and natural hybridization between the Sardinian endemic Maniola nurag and the European Maniola jurtina. Journal of Evolutionary Biology 20(4) 1255-1270""",2007
REF426,"""Groenen F. Meurisse N. (2012). Historical distribution of the oak processionary moth Thaumetopoea processionea in Europe suggests recolonization instead of expansion. Agricultural and Forest Entomology. 14(2): 147-155""",2012
REF427,"""Grote A. (1883). Introduction to a Study of the North American Noctuidae. Proceedings of the American Philosophical Society. 21(114): 134-176""",1883
REF428,"""Gubin A. (2021). Four invasive alien phytophagous insects new to Armenia. Phytoparasitica. 49: 163-166""",2021
REF429,"""Guenee A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret)""",1852
REF430,"""Guerout R. (1974). Occurrence of Phyllocnistis citrella in West Africa. Fruits (Paris). 29: 519-523""",1974
REF431,"""Guerrero J. et al. (2020). Contribucion al conocimiento de los Noctuidae de la vertiente asturiana del Parque Nacional de los Picos de Europa (Asturias Espana)(Insecta: Lepidoptera). SHILAP Revista de lepidopterologia. 48(189): 5-26""",2020
REF432,"""Guerrero J. et al. (2021). First record and DNA barcoding of Donacaula niloticus (Zeller 1867) from the Iberian Peninsula (Lepidoptera: Crambidae). Biodiversity Data Journal. 9: e70193""",2021
REF433,"""Guerrero K. et al. (2004). First New World documentation of an Old World citrus pest the Lime Swallowtail Papilio demoleus (Lepidoptera: Papilionidae) in the Dominican Republic (Hispaniola). Ammerican Entomologist. 50(4): 227-229""",2004
REF434,"""Guichard S. Augustin S. (2002). Acute spread in France of an invasive pest the horse chestnut leafminer Cameraria ohridella Deschka and Dimic (Lep. Gracillariidae). Journal of Pest Science. 75: 145-149""",2002
REF435,"""Gumhalter D. (2019). A revised checklist of pyraloid moths (Lepidoptera: Pyraloidea) in Croatia. Natura Croatica: Periodicum Musei Historiae Naturalis Croatici. 28(2): 271-288""",2019
REF436,"""Gustafsson B. (1996). Nigra fjiirilsarter importerade till Sverige med bananer. Entomologisk Tidskrift. 117(3): 123-124""",1996
REF437,"""Gyulai P. et al. (2011) New Noctuidae species from China and the Himalayas (Lepidoptera Noctuoidea). Esperiana. 16: 166-197""",2011
REF438,"""Habeck D. Bennett F. (1990). Cactoblastis cactorum Berg (Lepidoptera: Pyralidae) a phycitine new to Florida. Entomology Circular. 333""",1990
REF439,"""Habeck D. Cuda J. (2009). Waterlily Leafcutter Synclita obliteralis (Walker)(Insecta: Lepidoptera: Crambidae: Acentropinae). Univerity of Florida IFAS Extension EENY. 424: 1-4""",2009
